1001	Flensburg, Stadt
1002	Kiel, Stadt
1003	Lübeck, Stadt
1004	Neumünster, Stadt
1051	Dithmarschen
1053	Herzogtum Lauenburg
1054	Nordfriesland
1055	Ostholstein
1056	Pinneberg
1057	Plön
1058	Rendsburg-Eckernförde
1059	Schleswig-Flensburg
1060	Segeberg
1061	Steinburg
1062	Stormarn
2000	Hamburg, Stadt
3101	Braunschweig, Stadt
3102	Salzgitter, Stadt
3103	Wolfsburg, Stadt
3151	Gifhorn
3153	Goslar
3154	Helmstedt
3155	Northeim
3157	Peine
3158	Wolfenbüttel
3159	Göttingen
3241	Region Hannover
3251	Diepholz
3252	Hameln-Pyrmont
3254	Hildesheim
3255	Holzminden
3256	Nienburg (Weser)
3257	Schaumburg
3351	Celle
3352	Cuxhaven
3353	Harburg
3354	Lüchow-Dannenberg
3355	Lüneburg
3356	Osterholz
3357	Rotenburg (Wümme)
3358	Heidekreis
3359	Stade
3360	Uelzen
3361	Verden
3401	Delmenhorst, Stadt
3402	Emden, Stadt
3403	Oldenburg (Oldenburg), Stadt
3404	Osnabrück, Stadt
3405	Wilhelmshaven, Stadt
3451	Ammerland
3452	Aurich
3453	Cloppenburg
3454	Emsland
3455	Friesland
3456	Grafschaft Bentheim
3457	Leer
3458	Oldenburg
3459	Osnabrück
3460	Vechta
3461	Wesermarsch
3462	Wittmund
4011	Bremen, Stadt
4012	Bremerhaven, Stadt
5111	Düsseldorf, Stadt
5112	Duisburg, Stadt
5113	Essen, Stadt
5114	Krefeld, Stadt
5116	Mönchengladbach, Stadt
5117	Mülheim an der Ruhr, Stadt
5119	Oberhausen, Stadt
5120	Remscheid, Stadt
5122	Solingen, Stadt
5124	Wuppertal, Stadt
5154	Kleve
5158	Mettmann
5162	Rhein-Kreis Neuss
5166	Viersen
5170	Wesel
5314	Bonn, Stadt
5315	Köln, Stadt
5316	Leverkusen, Stadt
5334	Städteregion Aachen
5358	Düren
5362	Rhein-Erft-Kreis
5366	Euskirchen
5370	Heinsberg
5374	Oberbergischer Kreis
5378	Rheinisch-Bergischer Kreis
5382	Rhein-Sieg-Kreis
5512	Bottrop, Stadt
5513	Gelsenkirchen, Stadt
5515	Münster, Stadt
5554	Borken
5558	Coesfeld
5562	Recklinghausen
5566	Steinfurt
5570	Warendorf
5711	Bielefeld, Stadt
5754	Gütersloh
5758	Herford
5762	Höxter
5766	Lippe
5770	Minden-Lübbecke
5774	Paderborn
5911	Bochum, Stadt
5913	Dortmund, Stadt
5914	Hagen, Stadt
5915	Hamm, Stadt
5916	Herne, Stadt
5954	Ennepe-Ruhr-Kreis
5958	Hochsauerlandkreis
