1001000	Flensburg, Stadt	56.74	88519	Flensburg	1	1059000	Schleswig-Flensburg/Flensburg	1	2	4	Dünn besiedelter ländlicher Kreis	2	Ländlicher Raum	102	Schleswig-Holstein Nord	3	Ländliche Region	4	Flensburg	10	Schleswig-Holstein	DEF01	Flensburg, Kreisfreie Stadt	DEF0	Schleswig-Holstein	1	Schleswig-Holstein	1	West																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
1002000	Kiel, Stadt	118.65	247943	Kiel	1	1002000	Kiel, Stadt	0	1	1	kreisfreie Großstadt	1	Städtischer Raum	101	Schleswig-Holstein Mitte	2	Region mit Verstädterungsansätzen	6	Kiel	10	Schleswig-Holstein	DEF02	Kiel, Kreisfreie Stadt	DEF0	Schleswig-Holstein	1	Schleswig-Holstein	1	West																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
1003000	Lübeck, Stadt	214.21	216318	Lübeck	1	1003000	Lübeck, Stadt	0	1	1	kreisfreie Großstadt	1	Städtischer Raum	103	Schleswig-Holstein Ost	2	Region mit Verstädterungsansätzen	5	Lübeck	10	Schleswig-Holstein	DEF03	Lübeck, Kreisfreie Stadt	DEF0	Schleswig-Holstein	1	Schleswig-Holstein	1	West																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
1004000	Neumünster, Stadt	71.63	79335	Neumünster	1	1058000	Rendsburg-Eckernförde/Neumünster	1	2	3	Ländlicher Kreis mit Verdichtungsansätzen	2	Ländlicher Raum	101	Schleswig-Holstein Mitte	2	Region mit Verstädterungsansätzen	6	Kiel	10	Schleswig-Holstein	DEF04	Neumünster, Kreisfreie Stadt	DEF0	Schleswig-Holstein	1	Schleswig-Holstein	1	West																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
1051000	Dithmarschen	1428.17	133447	Heide	2	1051000	Dithmarschen	0	2	4	Dünn besiedelter ländlicher Kreis	2	Ländlicher Raum	105	Schleswig-Holstein Süd-West	3	Ländliche Region	2	Heide	10	Schleswig-Holstein	DEF05	Dithmarschen	DEF0	Schleswig-Holstein	1	Schleswig-Holstein	1	West																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
1053000	Herzogtum Lauenburg	1263.06	196074	Ratzeburg	2	1053000	Herzogtum Lauenburg	0	2	3	Ländlicher Kreis mit Verdichtungsansätzen	2	Ländlicher Raum	104	Schleswig-Holstein Süd	2	Region mit Verstädterungsansätzen	7	Ratzeburg	10	Schleswig-Holstein	DEF06	Herzogtum Lauenburg	DEF0	Schleswig-Holstein	1	Schleswig-Holstein	1	West																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
1054000	Nordfriesland	2082.97	165462	Husum	2	1054000	Nordfriesland	0	2	4	Dünn besiedelter ländlicher Kreis	2	Ländlicher Raum	102	Schleswig-Holstein Nord	3	Ländliche Region	1	Husum	10	Schleswig-Holstein	DEF07	Nordfriesland	DEF0	Schleswig-Holstein	1	Schleswig-Holstein	1	West																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
1055000	Ostholstein	1392.58	200584	Eutin	2	1055000	Ostholstein	0	2	3	Ländlicher Kreis mit Verdichtungsansätzen	2	Ländlicher Raum	103	Schleswig-Holstein Ost	2	Region mit Verstädterungsansätzen	5	Lübeck	10	Schleswig-Holstein	DEF08	Ostholstein	DEF0	Schleswig-Holstein	1	Schleswig-Holstein	1	West																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
1056000	Pinneberg	664.28	312662	Pinneberg	2	1056000	Pinneberg	0	2	2	Städtischer Kreis	1	Städtischer Raum	104	Schleswig-Holstein Süd	2	Region mit Verstädterungsansätzen	8	Hamburg	10	Schleswig-Holstein	DEF09	Pinneberg	DEF0	Schleswig-Holstein	1	Schleswig-Holstein	1	West																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
1057000	Plön	1083.18	128842	Plön	2	1057000	Plön	0	2	3	Ländlicher Kreis mit Verdichtungsansätzen	2	Ländlicher Raum	101	Schleswig-Holstein Mitte	2	Region mit Verstädterungsansätzen	6	Kiel	10	Schleswig-Holstein	DEF0A	Plön	DEF0	Schleswig-Holstein	1	Schleswig-Holstein	1	West																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
1058000	Rendsburg-Eckernförde	2189.26	273022	Rendsburg	2	1058000	Rendsburg-Eckernförde/Neumünster	1	2	3	Ländlicher Kreis mit Verdichtungsansätzen	2	Ländlicher Raum	101	Schleswig-Holstein Mitte	2	Region mit Verstädterungsansätzen	6	Kiel	10	Schleswig-Holstein	DEF0B	Rendsburg-Eckernförde	DEF0	Schleswig-Holstein	1	Schleswig-Holstein	1	West																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
